skeleton_id, treenode_id, parent_treenode_id, x, y, z, r
38386, 263847, 263847, 53981.34, 32418.236, 45540, 1347
38669, 263895, 263895, 47057.34, 18897.13, 45660, 1240
38687, 263899, 263899, 45173.652, 57264.055, 23820, 1354
38718, 263901, 263901, 29354.383, 42270.125, 50784, 1293
38752, 263902, 263902, 49451.926, 22254.895, 38532, 1299
38770, 263903, 263903, 35347.297, 62532, 20639.893, 1364
38791, 263904, 263904, 22701.953, 34148.73, 38172, 1247
38804, 263905, 263905, 20950.602, 42433.992, 40212, 1250
38817, 263906, 263906, 33894.95, 63828.48, 35412, 1262
38821, 263907, 263907, 35507.227, 61130.15, 38292, 1301
38857, 263926, 263926, 26129.824, 26972.912, 36348, 1284
38866, 263927, 263927, 38535.812, 22116, 51528, 1220
38880, 263928, 263928, 36460.46, 55072.008, 21876, 1252
38895, 263930, 263930, 34388.656, 62454.72, 30360, 1354
38923, 263931, 263931, 41204.76, 33426.285, 20532, 1207
38977, 263934, 263934, 36666.24, 33132, 53997.56, 1302
39000, 263953, 263953, 26654.312, 46677.945, 47268, 1101
39015, 263954, 263954, 39036, 22192.67, 52933.56, 1078
39037, 263955, 263955, 47440.516, 47194.668, 21012, 1309
39041, 263956, 263956, 50513.16, 45774.4, 20232, 1214
39045, 263957, 263957, 47514.074, 41879.33, 19656, 1126
39112, 264325, 264325, 38756.69, 32873.926, 24852, 1296
39128, 264327, 264327, 46073.57, 20740.246, 44484, 1260
39145, 264328, 264328, 35537.29, 61409.246, 38064, 1452
39163, 264486, 264486, 54565.723, 28148.613, 40176, 1266
39174, 264495, 264495, 51593.383, 30541.371, 44364, 1274
39189, 264536, 264536, 35521.69, 38043.324, 24888, 1356
39214, 264594, 264594, 53570.918, 21139.838, 27612, 1275
39232, 264696, 264696, 38160, 22854.066, 51954.97, 1442
39253, 264752, 264752, 45396, 23951.842, 53433.977, 1143
39279, 264756, 264756, 39480, 21886.91, 53440.03, 1257
39399, 265592, 265592, 37382.797, 18102.021, 43296, 1297
39411, 265593, 265593, 30492, 34423.426, 51926.406, 1304
39567, 266765, 266765, 37860, 17292.293, 41571.027, 1158
