24827324	BAla12	79884.55	62777.9	44500	Go to Delete
24827325	BAla34	77689.2	65754.5	44600	Go to Delete
24827326	BAlc_ant	82376.4	62156.6	41950	Go to Delete
24827327	BAlc_post	81995.5	61863.1	43800	Go to Delete
24827328	BAlp4	80751.9	61964.7	50350	Go to Delete
24827329	BAlp_ant	81044.88	60885.88	51800	Go to Delete
24827330	BAmas12_dor--v	73087.2	67746.4	37050	Go to Delete
24827331	BAmas12_dor--d	70353.2	62981.2	36700	Go to Delete
24827332	BAmas12_ven	72321.6	67153.6	36650	Go to Delete
24827333	BAmd1--v	74429	45042.7	37200	Go to Delete
24827334	BAmd1--d	76681.6	38708.8	35450	Go to Delete
24827335	BAmd2_d	71821.9	43473.9	35450	Go to Delete
24827336	BAmd2_v	70004.7	44761.3	36250	Go to Delete
24827337	BAmv12_dor	70438.7	53825.7	43200	Go to Delete
24827338	BAmv12_ven	70734.5	54345.7	43250	Go to Delete
24827339	BAmv3	77915.2	53971.4	35900	Go to Delete
24827340	BLAd-OL	88662	42395.7	70400	Go to Delete
24827341	BLAd-vl	93121.8	37702.4	61900	Go to Delete
24827342	BLAd-vm	92756.9	37390.9	62450	Go to Delete
24827343	BLAl	92761.1	33347.7	59300	Go to Delete
24827344	BLAv12_ant--v	93027.8	43076.8	61700	Go to Delete
24827345	BLAv12_ant--d	93822	41796.2	62450	Go to Delete
24827346	BLAv12at	93338.64	40518.64	62750	Go to Delete
24827347	BLAv12_post	92568	43401.1	63100	Go to Delete
24827348	BLAvm ant	94304.6	44471.4	59200	Go to Delete
24827349	BLAvm post	93500.9	46588	61150	Go to Delete
24827350	BLDc	89303.4	31879.7	64850	Go to Delete
24827351	BLP12--d	81816.9	36801.1	69800	Go to Delete
24827352	BLP12--v	84280.2	41161.6	68600	Go to Delete
24827353	BLP34	80486.9	41071.3	68200	Go to Delete
24827354	BLVa12	83216.2	41003.9	69050	Go to Delete
24827355	BLVa34	86883	48414.9	67150	Go to Delete
24827356	BLVa_t	87948.3	47081.8	66350	Go to Delete
24827357	BLVp1	77507.6	41287	66300	Go to Delete
24827358	CM13at	66013.6	32915.6	63650	Go to Delete
24827359	CM13_med	65133.9	33968.2	63050	Go to Delete
24827360	CM4-dm	64520	29880.5	56100	Go to Delete
24827361	CM4-vm	64467	30899.7	56650	Go to Delete
24827362	CPa	76266	35166.5	68250	Go to Delete
24827363	CPbl--v	79102.2	35968.7	69200	Go to Delete
24827364	CPbl--d	75382.12	29353.1	68850	Go to Delete
24827365	CPb--v	78324.65	35205.1	69250	Go to Delete
24827366	CPb--d	74786.3	29757	68800	Go to Delete
24827367	CPc	75190.6	29871.8	68900	Go to Delete
24827368	CPd	73921.4	28978.8	68000	Go to Delete
24827369	CPe--d	73505.3	28335.7	68000	Go to Delete
24827370	CPe--v	74417.9	34420.4	67400	Go to Delete
24827371	CPf	73127.2	34648.4	66150	Go to Delete
24827372	DALcl12-d	84481.6	34724.4	42000	Go to Delete
24827373	DALcl12-v	82270	40211.6	42600	Go to Delete
24827374	DALcm12-m	80541	34150.6	36150	Go to Delete
24827375	DALcm12-v	82825.9	33394.9	42250	Go to Delete
24827376	DALd	83922.3	33182.3	42450	Go to Delete
24827377	DALv1	83752	42132.5	48150	Go to Delete
24827378	DALv23	86662.8	50788.9	44850	Go to Delete
24827379	DAMd1	72126.8	31033.8	31300	Go to Delete
24827380	DAMd23	73066.3	30564.9	31450	Go to Delete
24827381	DAMv12at	68536.8	34447	31500	Go to Delete
24827382	DAMv12_med	69288.6	34535.7	31500	Go to Delete
24827383	DPlal1-3_ant	91837.45	33636.65	53600	Go to Delete
24827384	DPlal1-3at	92111.05	33430.5	54950	Go to Delete
24827385	DPLam	87801.5	28547.5	51950	Go to Delete
24827386	DPLc5	72212.4	21851	56150	Go to Delete
24827387	DPLc_antat	82794.4	21213.5	52150	Go to Delete
24827388	DPLc_postat	84405.6	21280	58100	Go to Delete
24827389	DPLd	84895.8	25900.8	47650	Go to Delete
24827390	DPLl--d	86505.4	23352.6	61000	Go to Delete
24827391	DPLl--v	87916.8	24767.1	62350	Go to Delete
24827392	DPLm1	80415.6	19513	61750	Go to Delete
24827393	DPLm2	82190.2	19839.8	61700	Go to Delete
24827394	DPLp	85754.6	27181.4	68100	Go to Delete
24827395	DPMl12	68216.6	24592.7	55800	Go to Delete
24827396	DPMl_ant_dor	67970.6	22140.7	48100	Go to Delete
24827397	DPMm1	65658.3	25545.6	36750	Go to Delete
24827398	DPMm2	65915.6	25726.5	50600	Go to Delete
24827399	DPMpl12	65427.4	26157	56500	Go to Delete
24827400	DPMpm1	65296.7	26385.8	48100	Go to Delete
24827401	DPMpm2	63106.6	27090.4	55950	Go to Delete
24827402	TRdl ant	75808.48	67986.56	39550	Go to Delete
24827403	TRdl post	77778.4	67524.1	41500	Go to Delete
